time_s,front_y_px_raw,front_y_px_smooth
30.12,90.0,90.0
30.16,90.0,90.0
30.2,90.0,90.0
30.24,90.0,90.0
30.28,90.0,90.0
30.32,90.0,90.0
30.36,90.0,90.0
30.4,90.0,90.0
30.44,90.0,90.0
30.48,90.0,90.0
30.52,90.0,90.0
30.56,90.0,90.0
30.6,90.0,90.0
30.64,90.0,90.0
30.68,90.0,90.0
30.72,90.0,90.0
30.76,90.0,90.0
30.8,90.0,90.0
30.84,90.0,90.0
30.88,90.0,90.0
30.92,90.0,90.0
30.96,90.0,90.0
31.0,90.0,90.0
31.04,90.0,90.0
31.08,90.0,90.0
31.12,90.0,90.0
31.16,90.0,90.0
31.2,90.0,90.0
31.24,90.0,90.0
31.28,90.0,90.0
31.32,90.0,90.0
31.36,90.0,90.0
31.4,90.0,90.0
31.44,90.0,90.0
31.48,90.0,90.0
31.52,90.0,90.0
31.56,90.0,90.0
31.6,90.0,90.0
31.64,90.0,90.0
31.68,90.0,90.0
31.72,90.0,90.0
31.76,90.0,90.0
31.8,90.0,90.0
31.84,90.0,90.0
31.88,90.0,90.0
31.92,90.0,90.0
31.96,90.0,90.0
32.0,90.0,90.0
32.04,90.0,90.0
32.08,90.0,90.0
32.12,90.0,90.0
32.16,90.0,90.0
32.2,90.0,90.0
32.24,90.0,90.0
32.28,90.0,90.0
32.32,90.0,90.0
32.36,90.0,90.0
32.4,90.0,90.0
32.44,90.0,90.0
32.48,90.0,90.0
32.52,90.0,90.0
32.56,90.0,90.0
32.6,90.0,90.0
32.64,90.0,90.0
32.68,90.0,90.0
32.72,90.0,90.0
32.76,90.0,90.0
32.8,90.0,90.0
32.84,90.0,90.0
32.88,90.0,90.0
32.92,90.0,90.0
32.96,90.0,90.0
33.0,90.0,90.0
33.04,90.0,90.0
33.08,90.0,90.0
33.12,90.0,90.0
33.16,90.0,90.0
33.2,90.0,90.0
33.24,90.0,90.0
33.28,90.0,90.0
33.32,90.0,90.0
33.36,90.0,90.0
33.4,90.0,90.0
33.44,90.0,90.0
33.48,90.0,90.0
33.52,90.0,90.0
33.56,90.0,90.0
33.6,90.0,90.0
33.64,90.0,90.0
33.68,90.0,90.0
33.72,90.0,90.0
33.76,90.0,90.0
33.8,90.0,90.0
33.84,90.0,90.0
33.88,90.0,90.0
33.92,90.0,90.0
33.96,90.0,90.0
34.0,90.0,90.0
34.04,90.0,90.0
34.08,90.0,90.0
34.12,90.0,90.0
34.16,90.0,90.0
34.2,90.0,90.0
34.24,90.0,90.0
34.28,90.0,90.0
34.32,90.0,90.0
34.36,90.0,90.0
34.4,90.0,90.0
34.44,90.0,90.0
34.48,90.0,90.0
34.52,90.0,90.0
34.56,90.0,90.0
34.6,90.0,90.0
34.64,90.0,90.0
34.68,90.0,90.0
34.72,90.0,90.0
34.76,90.0,90.0
34.8,90.0,90.0
34.84,90.0,90.0
34.88,90.0,90.0
34.92,90.0,90.0
34.96,90.0,90.0
35.0,90.0,90.0
35.04,90.0,90.0
35.08,90.0,90.0
35.12,90.0,90.0
35.16,90.0,90.0
35.2,90.0,90.0
35.24,90.0,90.0
35.28,90.0,90.0
35.32,90.0,90.0
35.36,90.0,90.0
35.4,90.0,90.0
35.44,90.0,90.0
35.48,90.0,90.0
35.52,90.0,90.0
35.56,90.0,90.0
35.6,90.0,90.0
35.64,90.0,90.0
35.68,90.0,90.0
35.72,90.0,90.0
35.76,90.0,90.0
35.8,90.0,90.0
35.84,90.0,90.0
35.88,90.0,90.0
35.92,90.0,90.0
35.96,90.0,90.0
36.0,90.0,90.0
36.04,90.0,90.0
36.08,90.0,90.0
36.12,90.0,90.0
36.16,90.0,90.0
36.2,90.0,90.0
36.24,90.0,90.0
36.28,90.0,90.0
36.32,90.0,90.0
36.36,90.0,90.0
36.4,90.0,90.0
36.44,90.0,90.0
36.48,90.0,90.0
36.52,90.0,90.0
36.56,90.0,90.0
36.6,90.0,90.0
36.64,90.0,90.0
36.68,90.0,90.0
36.72,90.0,90.0
36.76,90.0,90.0
36.8,90.0,90.0
36.84,90.0,90.0
36.88,90.0,90.0
36.92,90.0,90.0
36.96,90.0,90.0
37.0,90.0,90.0
37.04,90.0,90.0
37.08,90.0,90.0
37.12,90.0,90.0
37.16,90.0,90.0
37.2,90.0,90.0
37.24,90.0,90.0
37.28,90.0,90.0
37.32,90.0,90.0
37.36,90.0,90.0
37.4,90.0,90.0
37.44,90.0,90.0
37.48,90.0,90.0
37.52,90.0,90.0
37.56,90.0,90.0
37.6,90.0,90.0
37.64,90.0,90.0
37.68,90.0,90.0
37.72,90.0,90.0
37.76,90.0,90.0
37.8,90.0,90.0
37.84,90.0,90.0
37.88,90.0,90.0
37.92,90.0,90.0
37.96,90.0,90.0
38.0,90.0,90.0
38.04,90.0,90.0
38.08,90.0,90.0
38.12,90.0,90.0
38.16,90.0,90.0
38.2,90.0,90.0
38.24,90.0,90.0
38.28,90.0,90.0
38.32,90.0,90.0
38.36,90.0,90.0
38.4,90.0,90.0
38.44,90.0,90.0
38.48,90.0,90.0
38.52,90.0,90.0
38.56,90.0,90.0
38.6,90.0,90.0
38.64,90.0,90.0
38.68,90.0,90.0
38.72,90.0,90.0
38.76,90.0,90.0
38.8,90.0,90.0
38.84,90.0,90.0
38.88,90.0,90.0
38.92,90.0,90.0
38.96,90.0,90.0
39.0,90.0,90.0
39.04,90.0,90.0
39.08,90.0,90.0
39.12,90.0,90.0
39.16,90.0,90.0
39.2,90.0,90.0
39.24,90.0,90.0
39.28,90.0,90.0
39.32,90.0,90.0
39.36,90.0,90.0
39.4,90.0,90.0
39.44,90.0,90.0
39.48,90.0,90.0
39.52,90.0,90.0
39.56,90.0,90.0
39.6,90.0,90.0
39.64,90.0,90.0
39.68,90.0,90.0
39.72,90.0,90.0
39.76,90.0,90.0
39.8,90.0,90.0
39.84,90.0,90.0
39.88,90.0,90.0
39.92,90.0,90.0
39.96,90.0,90.0
40.0,90.0,90.0
40.04,90.0,90.0
40.08,90.0,90.0
40.12,90.0,90.0
40.16,90.0,90.0
40.2,90.0,90.0
40.24,90.0,90.0
40.28,90.0,90.0
40.32,90.0,90.0
40.36,90.0,90.0
40.4,90.0,90.0
40.44,90.0,90.0
40.48,90.0,90.0
40.52,90.0,90.0
40.56,90.0,90.0
40.6,90.0,90.0
40.64,90.0,90.0
40.68,90.0,90.0
40.72,90.0,90.0
40.76,90.0,90.0
40.8,90.0,90.0
40.84,90.0,90.0
40.88,90.0,90.0
40.92,90.0,90.0
40.96,90.0,90.0
41.0,90.0,90.0
41.04,90.0,90.0
41.08,90.0,90.0
41.12,90.0,90.0
41.16,90.0,90.0
41.2,90.0,90.0
41.24,90.0,90.0
41.28,90.0,90.0
41.32,90.0,90.0
41.36,90.0,90.0
41.4,90.0,90.0
41.44,90.0,90.0
41.48,90.0,90.0
41.52,90.0,90.0
41.56,90.0,90.0
41.6,90.0,90.0
41.64,90.0,90.0
41.68,90.0,90.0
41.72,90.0,90.0
41.76,90.0,90.0
41.8,90.0,90.0
41.84,90.0,90.0
41.88,90.0,90.0
41.92,90.0,90.0
41.96,90.0,90.0
42.0,90.0,90.0
42.04,90.0,90.0
42.08,90.0,90.0
42.12,90.0,90.0
42.16,90.0,90.0
42.2,90.0,90.0
42.24,90.0,90.0
42.28,90.0,90.0
42.32,90.0,90.0
42.36,90.0,90.0
42.4,90.0,90.0
42.44,90.0,90.0
42.48,90.0,90.0
42.52,90.0,90.0
42.56,90.0,90.0
42.6,90.0,90.0
42.64,90.0,90.0
42.68,90.0,90.0
42.72,90.0,90.0
42.76,90.0,90.0
42.8,90.0,90.0
42.84,90.0,90.0
42.88,90.0,90.0
42.92,90.0,90.0
42.96,90.0,90.0
43.0,90.0,90.0
43.04,90.0,90.0
43.08,90.0,90.0
43.12,90.0,90.0
43.16,90.0,90.0
43.2,90.0,90.0
43.24,90.0,90.0
43.28,90.0,90.0
43.32,90.0,90.0
43.36,90.0,90.0
43.4,90.0,90.0
43.44,90.0,90.0
43.48,90.0,90.0
43.52,90.0,90.0
43.56,90.0,90.0
43.6,90.0,90.0
43.64,90.0,90.0
43.68,90.0,90.0
43.72,90.0,90.0
43.76,90.0,90.0
43.8,90.0,90.0
43.84,,90.0
43.88,,90.0
43.92,,
43.96,,
44.0,,
44.04,,
44.08,,
44.12,,
44.16,,
44.2,,
44.24,,
44.28,,
44.32,,
44.36,,
44.4,,
44.44,,
44.48,,
44.52,,
44.56,,
44.6,,
44.64,,
44.68,,
44.72,,
44.76,,
44.8,,
44.84,,
44.88,,
44.92,,
44.96,,
45.0,,
45.04,,
45.08,,
45.12,,
45.16,,
45.2,,
45.24,,
45.28,,
45.32,,
45.36,,
45.4,,90.0
45.44,,90.0
45.48,90.0,90.0
45.52,90.0,90.0
45.56,90.0,90.0
45.6,90.0,90.0
45.64,90.0,90.0
45.68,90.0,90.0
45.72,90.0,90.0
45.76,,90.0
45.8,,90.0
45.84,,
45.88,,
45.92,,
45.96,,
46.0,,
46.04,,
46.08,,
46.12,,
46.16,,
46.2,,
46.24,,
46.28,,
46.32,,
46.36,,
46.4,,
46.44,,
46.48,,
46.52,,
46.56,,
46.6,,
46.64,,
46.68,,
46.72,,
46.76,,
46.8,,
46.84,,
46.88,,
46.92,,
46.96,,
47.0,,
47.04,,
47.08,,
47.12,,
47.16,,
47.2,,
47.24,,
47.28,,
47.32,,
47.36,,
47.4,,
47.44,,
47.48,,
47.52,,
47.56,,
47.6,,
47.64,,
47.68,,
47.72,,
47.76,,
47.8,,
47.84,,
47.88,,
47.92,,
47.96,,
48.0,,
48.04,,
48.08,,
48.12,,
48.16,,
48.2,,
48.24,,
48.28,,
48.32,,
48.36,,
48.4,,
48.44,,
48.48,,
48.52,,
48.56,,
48.6,,
48.64,,
48.68,,
48.72,,
48.76,,
48.8,,
48.84,,
48.88,,
48.92,,
48.96,,
49.0,,
49.04,,
49.08,,
49.12,,
49.16,,
49.2,,
49.24,,
49.28,,
49.32,,
49.36,,
49.4,,
49.44,,
49.48,,
49.52,,
49.56,,
49.6,,
49.64,,
49.68,,
49.72,,
49.76,,
49.8,,
49.84,,
49.88,,
49.92,,
49.96,,
50.0,,
50.04,,
50.08,,
50.12,,
50.16,,
50.2,,
50.24,,
50.28,,
50.32,,
50.36,,
50.4,,
50.44,,
50.48,,
50.52,,
50.56,,
50.6,,
50.64,,
50.68,,
50.72,,
50.76,,
50.8,,
50.84,,
50.88,,
50.92,,
50.96,,
51.0,,
51.04,,
51.08,,
51.12,,
51.16,,
51.2,,
51.24,,
51.28,,
51.32,,
51.36,,
51.4,,
51.44,,
51.48,,
51.52,,
51.56,,
51.6,,
51.64,,
51.68,,
51.72,,
51.76,,
51.8,,
51.84,,
51.88,,
51.92,,
51.96,,
52.0,,
52.04,,
52.08,,
52.12,,
52.16,,
52.2,,
52.24,,
52.28,,
52.32,,
52.36,,
52.4,,
52.44,,
52.48,,
52.52,,
52.56,,
52.6,,
52.64,,
52.68,,
52.72,,
52.76,,
52.8,,
52.84,,
52.88,,
52.92,,
52.96,,
53.0,,
53.04,,
53.08,,
53.12,,
53.16,,
53.2,,
53.24,,
53.28,,
53.32,,
53.36,,
53.4,,
53.44,,
53.48,,
53.52,,
53.56,,
53.6,,
53.64,,
53.68,,
53.72,,
53.76,,
53.8,,
53.84,,
53.88,,
53.92,,
53.96,,
54.0,,
54.04,,
54.08,,
54.12,,
54.16,,
54.2,,
54.24,,
54.28,,
54.32,,
54.36,,
54.4,,
54.44,,
54.48,,
54.52,,
54.56,,
54.6,,
54.64,,
54.68,,
54.72,,
54.76,,
54.8,,
54.84,,
54.88,,
54.92,,
54.96,,
55.0,,
55.04,,
55.08,,
55.12,,
55.16,,
55.2,,
55.24,,
55.28,,
55.32,,
55.36,,
55.4,,
55.44,,
55.48,,
55.52,,
55.56,,
55.6,,
55.64,,
55.68,,
55.72,,
55.76,,
55.8,,
55.84,,
55.88,,
55.92,,
55.96,,
56.0,,
56.04,,
56.08,,
56.12,,
56.16,,
56.2,,
56.24,,
56.28,,
56.32,,
56.36,,
56.4,,
56.44,,
56.48,,
56.52,,
56.56,,
56.6,,
56.64,,
56.68,,
56.72,,
56.76,,
56.8,,
56.84,,
56.88,,
56.92,,
56.96,,
57.0,,
57.04,,
57.08,,
57.12,,
57.16,,
57.2,,
57.24,,
57.28,,
57.32,,
57.36,,
57.4,,
57.44,,
57.48,,
57.52,,
57.56,,
57.6,,
57.64,,
57.68,,
57.72,,
57.76,,
57.8,,
57.84,,
57.88,,
57.92,,
57.96,,
58.0,,
58.04,,
58.08,,
58.12,,
58.16,,
58.2,,
58.24,,
58.28,,
58.32,,
58.36,,
58.4,,
58.44,,
58.48,,
58.52,,
58.56,,
58.6,,
58.64,,
58.68,,
58.72,,
58.76,,
58.8,,
58.84,,
58.88,,
58.92,,
58.96,,
59.0,,
59.04,,
59.08,,
59.12,,
59.16,,
59.2,,
59.24,,
59.28,,
59.32,,
59.36,,
59.4,,
59.44,,
59.48,,
59.52,,
59.56,,
59.6,,
59.64,,
59.68,,
59.72,,
59.76,,
59.8,,
59.84,,
59.88,,
59.92,,
59.96,,
60.0,,
60.04,,
60.08,,
60.12,,
60.16,,
60.2,,
60.24,,
60.28,,
60.32,,
60.36,,
60.4,,
60.44,,
60.48,,
60.52,,
60.56,,
60.6,,
60.64,,
60.68,,
60.72,,
60.76,,
60.8,,
60.84,,
60.88,,
60.92,,
60.96,,
61.0,,
61.04,,
61.08,,
61.12,,
61.16,,
61.2,,
61.24,,
61.28,,
61.32,,
61.36,,
61.4,,
61.44,,
61.48,,
61.52,,
61.56,,
61.6,,
61.64,,
61.68,,
61.72,,
61.76,,
61.8,,
61.84,,
61.88,,
61.92,,
61.96,,
62.0,,
62.04,,
62.08,,
62.12,,
62.16,,
62.2,,
62.24,,
62.28,,
